Bitstring,Count
'11111101111100000001',1
'11111101111100011111',1
'11111101111101110111',1
'11111101111101111101',1
'11111101111101111111',1
'11111101111110111111',6
'11111101111111011111',1
'11111101111111100001',1
'11111101111111100101',1
'11111101111111101010',1
'11111101111111101111',6
'11111101111111110111',5
'11111101111111111011',4
'11111101111111111101',7
'11111101111111111111',53
'11111110000000000001',1
'11111110000000001011',1
'11111110010111011111',1
'11111110011111101111',1
'11111110011111111101',1
'11111110100100000001',1
'11111110101000000001',1
'11111110101111111111',1
'11111110110111111101',1
'11111110110111111111',3
'11111110111011111111',2
'11111110111101111111',1
'11111110111110101101',1
'11111110111110111101',1
'11111110111110111111',2
'11111110111111011011',1
'11111110111111011111',1
'11111110111111100111',1
'11111110111111101101',1
'11111110111111101111',3
'11111110111111110111',3
'11111110111111111001',1
'11111110111111111011',3
'11111110111111111101',5
'11111110111111111110',1
'11111110111111111111',42
'11111111000000000011',1
'11111111000111111111',1
'11111111001111111101',1
'11111111001111111111',2
'11111111010000000001',1
'11111111010111111111',3
'11111111011011111111',2
'11111111011100000001',1
'11111111011101111101',1
'11111111011101111111',1
'11111111011110011111',1
'11111111011110111101',4
'11111111011110111111',3
'11111111011111001111',1
'11111111011111011111',1
'11111111011111100111',1
'11111111011111101101',1
'11111111011111101111',5
'11111111011111110011',1
'11111111011111110111',4
'11111111011111111011',3
'11111111011111111101',7
'11111111011111111111',53
'11111111100000000001',2
'11111111100000000011',1
'11111111100100100001',1
'11111111100111111001',2
'11111111100111111011',1
'11111111100111111101',1
'11111111100111111111',2
'11111111101000000001',1
'11111111101010101111',1
'11111111101011111101',1
'11111111101101010001',1
'11111111101110111101',1
'11111111101110111111',1
'11111111101111011111',2
'11111111101111101011',1
'11111111101111101111',2
'11111111101111110101',1
'11111111101111110111',3
'11111111101111111001',1
'11111111101111111011',1
'11111111101111111101',7
'11111111101111111111',24
'11111111110000000001',5
'11111111110000000011',2
'11111111110010111111',1
'11111111110011110101',1
'11111111110011111111',4
'11111111110100000001',2
'11111111110101001111',1
'11111111110101101111',1
'11111111110101111101',1
'11111111110110000001',1
'11111111110110111111',5
'11111111110111001111',1
'11111111110111010111',1
'11111111110111011111',1
'11111111110111100111',1
'11111111110111101111',5
'11111111110111110101',3
'11111111110111110111',4
'11111111110111111001',2
'11111111110111111011',2
'11111111110111111101',8
'11111111110111111111',35
'11111111111000000001',2
'11111111111000000011',2
'11111111111000111101',1
'11111111111001110101',1
'11111111111001111111',3
'11111111111010111011',1
'11111111111010111111',2
'11111111111011011101',1
'11111111111011011111',1
'11111111111011100001',1
'11111111111011101101',2
'11111111111011101111',2
'11111111111011110001',1
'11111111111011110101',1
'11111111111011110111',3
'11111111111011111101',8
'11111111111011111111',31
'11111111111100000001',4
'11111111111100000011',1
'11111111111100110011',1
'11111111111100111111',3
'11111111111101110101',1
'11111111111101110111',2
'11111111111101111011',2
'11111111111101111101',3
'11111111111101111111',17
'11111111111110000001',3
'11111111111110000011',1
'11111111111110001001',1
'11111111111110001101',1
'11111111111110011001',1
'11111111111110100101',1
'11111111111110101011',1
'11111111111110101111',7
'11111111111110110011',2
'11111111111110110101',1
'11111111111110110111',8
'11111111111110111011',2
'11111111111110111101',7
'11111111111110111111',60
'11111111111111000000',1
'11111111111111000001',3
'11111111111111001011',2
'11111111111111001111',2
'11111111111111010011',1
'11111111111111010111',1
'11111111111111011011',5
'11111111111111011111',23
'11111111111111100001',3
'11111111111111100011',1
'11111111111111100111',11
'11111111111111101001',3
'11111111111111101011',2
'11111111111111101101',19
'11111111111111101111',71
'11111111111111110001',9
'11111111111111110011',12
'11111111111111110101',12
'11111111111111110111',92
'11111111111111111001',7
'11111111111111111011',50
'11111111111111111100',2
'11111111111111111101',156
'11111111111111111110',3
'11111111111111111111',822
